# planning/fidelity/insights.pairing.tsv — which build node answers which mock affordance.
#
# Four tab-separated columns:  state <TAB> affordance <TAB> node <TAB> citation
#
# This file declares ONLY the pairing. present, divergent, absent and unclassified are computed by
# scripts/acceptance/mock_fidelity.py from the two artifacts on every run, which is what makes
# `present` earned by measuring rather than asserted. An affordance with no line becomes `absent`,
# which is a finding — deleting a line hides nothing.
#
# A citation is external and PRE-EXISTING. EVERY ONE OPENS WITH `Dn · `, naming the divergence in
# insights.layers.json this row's finding falls under.
#
#   node = -            the affordance has no counterpart in the build
#   affordance = +path  a build node with no counterpart in the mock, cited
#
# THE FACT THAT DECIDES MOST OF THIS FILE: three of the mock's four frames are about the session
# analyst, and this product has no analyst in any form (PRD.md §6 specifies one, nothing in
# app/Sources implements it). So the mock's v-loading is the analyst running, its v-error is the
# analyst falling back, and a third of its v-ideal is the analyst's configuration — none of which
# the build can answer without inventing the subsystem. See D1 and D5.

ideal	v-ideal/heading/insights	insights.ideal/board-column/board-head/board-title
ideal	v-ideal/sentence/what-your-agents-actually-used-and-what-the-anal	insights.ideal/board-column/board-head/board-subtitle
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-docker-mcp/bar-value-duty-docker-mcp	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
empty	v-empty/icon/unlabelled	insights.empty/board-column/insights-empty/message-state/message-icon
empty	v-empty/heading/not-enough-history-yet	insights.empty/board-column/insights-empty/message-state/message-copy/message-title
empty	v-empty/sentence/charts-need-about-a-day-of-calls-before-they-say	insights.empty/board-column/insights-empty/message-state/message-copy/message-detail
empty	v-empty/button/watch-the-live-log-instead	insights.empty/board-column/insights-empty/message-state/message-action
empty	v-empty/sentence/2-sessions-indexed-18-to-go	-	D1 · planning/specs/spec-M22.md §3.6 — PRD.md §6 specifies a session analyst and nothing in app/Sources implements one; the brief asks for its configuration and last run rather than for the analyst, so the board draws that panel's empty state; a count of sessions indexed by an analyst that does not run
loading	v-loading/card/analysing-your-sessions-claude-cli-haiku-scanned	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
loading	v-loading/icon/unlabelled	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
loading	v-loading/icon/unlabelled#2	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
loading	v-loading/progress/analysis-progress	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
loading	+insights.loading/board-column/board-head	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
loading	+insights.loading/board-column/board-head/board-title	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
loading	+insights.loading/board-column/board-head/board-subtitle	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
loading	+insights.loading/board-column/insights-loading	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
loading	+insights.loading/board-column/insights-loading/skeleton	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
loading	+insights.loading/board-column/insights-loading/skeleton/skeleton-row-0	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
loading	+insights.loading/board-column/insights-loading/skeleton/skeleton-row-1	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
loading	+insights.loading/board-column/insights-loading/skeleton/skeleton-row-2	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
loading	+insights.loading/board-column/insights-loading/skeleton/skeleton-row-3	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
error	v-error/banner/the-primary-analyst-hit-its-usage-limit-so-the-f	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
error	v-error/icon/unlabelled	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
error	v-error/button/change-the-order	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
error	v-error/callout/the-charts-above-are-unaffected-they-are-counted	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
error	+insights.error/board-column/board-head	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
error	+insights.error/board-column/board-head/board-title	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
error	+insights.error/board-column/board-head/board-subtitle	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
error	+insights.error/board-column/insights-failed	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
error	+insights.error/board-column/insights-failed/message-state	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
error	+insights.error/board-column/insights-failed/message-state/message-icon	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
error	+insights.error/board-column/insights-failed/message-state/message-copy	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
error	+insights.error/board-column/insights-failed/message-state/message-copy/message-title	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
error	+insights.error/board-column/insights-failed/message-state/message-copy/message-detail	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
error	+insights.error/board-column/insights-failed/message-state/message-action	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's; the board's are its own read of GET /insights, the failed one rendered from ControlAPIError whose routerNotRunning is its own state per DESIGN.md §5
empty	+insights.empty/board-column/board-head	-	D7 · design/mcp-router-console.html:3390-3400 — the mock draws the board head OUTSIDE every .v-* frame, so a per-state census cannot contain it; the build's header is one view that persists across states, which is what stops the title moving when data lands
empty	+insights.empty/board-column/board-head/board-title	-	D7 · design/mcp-router-console.html:3390-3400 — the mock draws the board head OUTSIDE every .v-* frame, so a per-state census cannot contain it; the build's header is one view that persists across states, which is what stops the title moving when data lands
empty	+insights.empty/board-column/board-head/board-subtitle	-	D7 · design/mcp-router-console.html:3390-3400 — the mock draws the board head OUTSIDE every .v-* frame, so a per-state census cannot contain it; the build's header is one view that persists across states, which is what stops the title moving when data lands
loading	+insights.loading/board-column	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's, so every build node in the board's own two frames is one its census cannot reach
error	+insights.error/board-column	-	D5 · planning/fidelity/insights.layers.json §5 — the mock's loading and error frames are the analyst's, so every build node in the board's own two frames is one its census cannot reach
